sku,marca,TA,CO,DV,GE,LP,RA,LA,CF,IH,CH,NT
JDN-CABRO-20,Joya de Nicaragua,,,107.0,,,,,,,88.0,
RJ-SL-25,Romeo y Julieta,,,137.0,,,,,,166.0,170.0,
TR-SH-100,Trinidad,,,,,,,,,205.0,,
RJ-CLUB-100,Romeo y Julieta,78.0,,,,,,,,,256.0,
RJ-RO2-10,Romeo y Julieta,58.0,,,,,,,,125.0,126.0,
PAR-CLUB-100,Partagas,,,,,,,,,,95.0,
RJ-RO2-15,Romeo y Julieta,92.0,,,,,,,,160.0,164.0,
JDN-BROB-20,Joya de Nicaragua,,,129.0,,,,,,,90.0,
JDN-RSC-20,Joya de Nicaragua,,,111.0,,,,,,,76.0,
JDN-ANRG-20,Joya de Nicaragua,,,130.0,,,,,,,114.0,
JDN-CABCG-20,Joya de Nicaragua,,,106.0,,,,,,,83.0,
JDN-REDC-20,Joya de Nicaragua,,,132.0,,,,,,,96.0,
O-MEROB-10,Oliva,,,,79.0,,,,,,92.0,
O-SVLAN-24,Oliva,,,,,,129.0,,,,167.0,
MC-JOY-25,Montecristo,97.0,,,,,,,,169.0,214.0,
O-SORM-20,Oliva,,,,109.0,,,,,178.0,,
CA-COROB-20,Camacho,,,147.0,,,,,,172.0,156.0,
O-SGDR-25,Oliva,,,,94.0,,,,,,152.0,
GUA-DEC-10,Guantanamera,,12.0,,,,,,,,45.0,
RJ-PRDF-15,Romeo y Julieta,120.0,,,,,,,,160.0,229.0,
RJ-RO3-25,Romeo y Julieta,107.0,,,,,,,,232.0,164.0,
O-SVMTOR-10,Oliva,,,,210.0,,,,,,116.0,
AJF-BAMR-20,AJ Fernandez,,,,,,,,157.0,175.0,141.0,
AJF-EHF-20,AJ Fernandez,,,,,,,,118.0,160.0,115.0,
AJF-DGR-20,AJ Fernandez,,,,,,,,145.0,195.0,135.0,
AJF-DGSC-20,AJ Fernandez,,,,,,,,140.0,165.0,136.0,
AB-FARBR12-10,Alec Bradley,,,,,,148.0,,,175.0,144.0,
AB-FARJSR10-10,Alec Bradley,,,,,,195.0,,,220.0,178.0,
